original_table,original_column,new_table,new_column,transform_notes,confidence
bookings,id,bookings,id,Primary key preserved,HIGH
bookings,booking_number,bookings,booking_number,Auto-generated if NULL,HIGH
bookings,user_id,bookings,user_id,Direct mapping,HIGH
bookings,carwash_id,bookings,carwash_id,Direct mapping,HIGH
bookings,service_id,bookings,service_id,Direct mapping,HIGH
bookings,vehicle_id,bookings,vehicle_id,Added column for FK,HIGH
bookings,booking_date,bookings,booking_date,Direct mapping,HIGH
bookings,booking_time,bookings,booking_time,Direct mapping,HIGH
bookings,vehicle_type,bookings,vehicle_type,Direct mapping (ENUM),HIGH
bookings,vehicle_plate,bookings,vehicle_plate,Direct mapping,HIGH
bookings,vehicle_model,bookings,vehicle_model,Direct mapping,HIGH
bookings,vehicle_color,bookings,vehicle_color,Direct mapping,HIGH
bookings,customer_name,bookings,customer_name,Added - populated from users,HIGH
bookings,customer_phone,bookings,customer_phone,Added - populated from users,HIGH
bookings,status,bookings,status,Direct mapping (ENUM),HIGH
bookings,review_status,bookings,review_status,Added column (ENUM),HIGH
bookings,total_price,bookings,total_price,Direct mapping,HIGH
bookings,payment_status,bookings,payment_status,Added column (ENUM),HIGH
bookings,payment_method,bookings,payment_method,Added column (ENUM),HIGH
bookings,notes,bookings,notes,Direct mapping,HIGH
bookings,cancellation_reason,bookings,cancellation_reason,Added column,HIGH
bookings,completed_at,bookings,completed_at,Added column,HIGH
bookings,created_at,bookings,created_at,Direct mapping,HIGH
bookings,updated_at,bookings,updated_at,Direct mapping,HIGH
services,id,services,id,Primary key preserved,HIGH
services,carwash_id,services,carwash_id,Direct mapping,HIGH
services,category_id,services,category_id,Added for FK to categories,MEDIUM
services,name,services,name,Direct mapping,HIGH
services,description,services,description,Direct mapping,HIGH
services,price,services,price,Direct mapping,HIGH
services,duration,services,duration,Direct mapping,HIGH
services,category,services,category,Added column (ENUM),HIGH
services,status,services,status,Direct mapping,HIGH
services,image,services,image,Direct mapping,HIGH
services,features,services,features,Added column (JSON),HIGH
services,is_available,services,is_available,Direct mapping,HIGH
services,sort_order,services,sort_order,Added column,HIGH
services,created_at,services,created_at,Direct mapping,HIGH
services,updated_at,services,updated_at,Direct mapping,HIGH
payments,id,payments,id,Primary key preserved,HIGH
payments,booking_id,payments,booking_id,Direct mapping,HIGH
payments,transaction_id,payments,transaction_id,Direct mapping,HIGH
payments,amount,payments,amount,Direct mapping,HIGH
payments,total_amount,payments,total_amount,Added column,HIGH
payments,payment_method,payments,payment_method,Direct mapping (ENUM),HIGH
payments,status,payments,status,Direct mapping (ENUM),HIGH
payments,payment_date,payments,payment_date,Direct mapping,HIGH
payments,notes,payments,notes,Direct mapping,HIGH
payments,receipt_url,payments,receipt_url,Added column,HIGH
payments,created_at,payments,created_at,Direct mapping,HIGH
payments,updated_at,payments,updated_at,Direct mapping,HIGH
reviews,id,reviews,id,Primary key preserved,HIGH
reviews,user_id,reviews,user_id,Direct mapping,HIGH
reviews,carwash_id,reviews,carwash_id,Direct mapping,HIGH
reviews,booking_id,reviews,booking_id,Direct mapping,HIGH
reviews,rating,reviews,rating,Direct mapping,HIGH
reviews,title,reviews,title,Added column,HIGH
reviews,comment,reviews,comment,Direct mapping,HIGH
reviews,response,reviews,response,Added column,HIGH
reviews,responded_at,reviews,responded_at,Added column,HIGH
reviews,is_verified,reviews,is_verified,Direct mapping,HIGH
reviews,is_visible,reviews,is_visible,Direct mapping,HIGH
reviews,created_at,reviews,created_at,Direct mapping,HIGH
reviews,updated_at,reviews,updated_at,Direct mapping,HIGH
